"muni_county_2016","hindi","MCD_FIPS"
"TOWN OF PLEASANT SPRINGS DANE","13046",5502563375
"TOWN OF PRIMROSE DANE","13048",5502565575
"TOWN OF ROXBURY DANE","13050",5502569850
"TOWN OF RUTLAND DANE","13052",5502570400
"TOWN OF SPRINGDALE DANE","13054",5502575850
"TOWN OF SPRINGFIELD DANE","13056",5502575875
"TOWN OF SUN PRAIRIE DANE","13058",5502578625
"TOWN OF VERMONT DANE","13060",5502582525
"TOWN OF VERONA DANE","13062",5502582625
"TOWN OF VERONA DANE","13062",5502582625
"TOWN OF VIENNA DANE","13064",5502582750
"TOWN OF WESTPORT DANE","13066",5502586125
"TOWN OF YORK DANE","13070",5502589450
"VILLAGE OF BELLEVILLE DANE","13106",5502506300
"VILLAGE OF BLACK EARTH DANE","13107",5502507800
"VILLAGE OF BLUE MOUNDS DANE","13108",5502508475
"VILLAGE OF BROOKLYN DANE","13109",5502510075
"VILLAGE OF CAMBRIDGE DANE","13111",5502512225
"VILLAGE OF COTTAGE GROVE DANE","13112",5502517175
"VILLAGE OF CROSS PLAINS DANE","13113",5502517775
"VILLAGE OF DANE DANE","13116",5502518725
"VILLAGE OF DEERFIELD DANE","13117",5502519250
"VILLAGE OF DEFOREST DANE","13118",5502519350
"VILLAGE OF DEFOREST DANE","13118",5502519350
"VILLAGE OF DEFOREST DANE","13118",5502519350
"VILLAGE OF DEFOREST DANE","13118",5502519350
"VILLAGE OF MAPLE BLUFF DANE","13151",5502548025
"VILLAGE OF MARSHALL DANE","13152",5502548750
"VILLAGE OF MAZOMANIE DANE","13153",5502549575
"VILLAGE OF MCFARLAND DANE","13154",5502546850
"VILLAGE OF MOUNT HOREB DANE","13157",5502554725
"VILLAGE OF MOUNT HOREB DANE","13157",5502554725
