"","county","cand","votes.rec","votes.perc","cand.group"
"444","Vilas","Rocky Roque De La Fuente",3,0.02,"Other"
"445","Vilas","Gary Johnson",340,2.53,"Other"
"446","Vilas","Monica Moorehead",11,0.08,"Other"
"447","Vilas","Jill Stein",116,0.86,"Other"
"448","Vilas","Donald J. Trump",8169,60.72,"Trump"
"449","Walworth","Darrell Castle",222,0.44,"Other"
"450","Walworth","Hillary Clinton",18706,36.99,"Clinton"
"451","Walworth","Rocky Roque De La Fuente",32,0.06,"Other"
"452","Walworth","Gary Johnson",2116,4.18,"Other"
"453","Walworth","Monica Moorehead",34,0.07,"Other"
"454","Walworth","Jill Stein",612,1.21,"Other"
"455","Walworth","Donald J. Trump",28848,57.05,"Trump"
"456","Washburn","Darrell Castle",26,0.29,"Other"
"457","Washburn","Hillary Clinton",3283,36.24,"Clinton"
"458","Washburn","Rocky Roque De La Fuente",2,0.02,"Other"
"459","Washburn","Gary Johnson",267,2.95,"Other"
"460","Washburn","Monica Moorehead",3,0.03,"Other"
"461","Washburn","Jill Stein",74,0.82,"Other"
"462","Washburn","Donald J. Trump",5404,59.65,"Trump"
"463","Washington","Darrell Castle",309,0.41,"Other"
"464","Washington","Hillary Clinton",20854,27.35,"Clinton"
"465","Washington","Rocky Roque De La Fuente",25,0.03,"Other"
"466","Washington","Gary Johnson",2745,3.6,"Other"
"467","Washington","Monica Moorehead",36,0.05,"Other"
"468","Washington","Jill Stein",548,0.72,"Other"
"469","Washington","Donald J. Trump",51729,67.84,"Trump"
"470","Waukesha","Darrell Castle",840,0.36,"Other"
"471","Waukesha","Hillary Clinton",79199,33.52,"Clinton"
"472","Waukesha","Rocky Roque De La Fuente",83,0.04,"Other"
"473","Waukesha","Gary Johnson",8890,3.76,"Other"
"474","Waukesha","Monica Moorehead",64,0.03,"Other"
"475","Waukesha","Jill Stein",1674,0.71,"Other"
"476","Waukesha","Donald J. Trump",145519,61.59,"Trump"
